ano,sigla_uf,id_municipio,id_municipio_tse,situacao_biometria,zona,secao,genero,estado_civil,grupo_idade,instrucao,eleitores,eleitores_biometria,eleitores_deficiencia,eleitores_inclusao_nome_social
2022,PB,2507507,20516,biometrico,1,299,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,535,masculino,solteiro(a),25 a 29 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,1,52,masculino,casado(a),50 a 54 anos,ensino fundamental incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,266,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,76,202,feminino,solteiro(a),30 a 34 anos,ensino superior completo,12,12,0,0
2022,PB,2507507,20516,biometrico,70,440,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,76,183,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,77,316,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,64,346,masculino,solteiro(a),25 a 29 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,64,152,masculino,solteiro(a),25 a 29 anos,ensino fundamental incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,70,507,feminino,solteiro(a),25 a 29 anos,ensino medio completo,26,26,0,0
2022,PB,2507507,20516,biometrico,70,440,masculino,solteiro(a),30 a 34 anos,ensino medio completo,21,21,0,0
2022,PB,2507507,20516,biometrico,64,364,feminino,casado(a),30 a 34 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,398,masculino,solteiro(a),35 a 39 anos,ensino fundamental incompleto,10,9,0,0
2022,PB,2507507,20516,biometrico,76,141,feminino,solteiro(a),40 a 44 anos,ensino superior completo,18,18,0,0
2022,PB,2507507,20516,biometrico,70,549,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,70,495,masculino,solteiro(a),30 a 34 anos,ensino medio completo,21,21,0,0
2022,PB,2507507,20516,biometrico,1,46,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,45,feminino,casado(a),55 a 59 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,260,feminino,solteiro(a),35 a 39 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,660,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,11,9,0,0
2022,PB,2507507,20516,biometrico,77,159,feminino,solteiro(a),30 a 34 anos,ensino fundamental incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,70,568,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,150,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,1,258,feminino,solteiro(a),30 a 34 anos,ensino superior completo,13,13,0,0
2022,PB,2507507,20516,biometrico,76,395,feminino,solteiro(a),21 a 24 anos,ensino superior incompleto,16,11,0,0
2022,PB,2507507,20516,biometrico,1,236,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,15,15,0,0
2022,PB,2507507,20516,biometrico,1,329,feminino,casado(a),35 a 39 anos,ensino superior completo,15,15,0,0
2022,PB,2507507,20516,biometrico,76,326,feminino,solteiro(a),35 a 39 anos,ensino superior completo,9,9,1,0
2022,PB,2507507,20516,biometrico,77,374,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,29,29,0,0
2022,PB,2507507,20516,biometrico,76,305,masculino,casado(a),40 a 44 anos,ensino superior completo,15,15,0,0
2022,PB,2507507,20516,biometrico,70,533,feminino,solteiro(a),25 a 29 anos,ensino medio completo,16,16,0,0
2022,PB,2507507,20516,biometrico,70,412,feminino,solteiro(a),35 a 39 anos,ensino medio completo,23,23,0,0
2022,PB,2507507,20516,biometrico,77,331,masculino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,359,masculino,solteiro(a),35 a 39 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,1,114,masculino,casado(a),45 a 49 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,70,411,feminino,solteiro(a),35 a 39 anos,ensino superior completo,15,15,0,0
2022,PB,2507507,20516,biometrico,64,444,masculino,casado(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,95,masculino,casado(a),45 a 49 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,1,106,feminino,solteiro(a),30 a 34 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,281,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,15,15,0,0
2022,PB,2507507,20516,biometrico,70,173,masculino,solteiro(a),35 a 39 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,233,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,15,15,0,0
2022,PB,2507507,20516,biometrico,70,532,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,10,9,0,0
2022,PB,2507507,20516,biometrico,64,346,feminino,solteiro(a),35 a 39 anos,ensino medio completo,19,19,0,0
2022,PB,2507507,20516,biometrico,77,24,feminino,solteiro(a),35 a 39 anos,ensino fundamental incompleto,16,16,0,0
2022,PB,2507507,20516,biometrico,1,190,masculino,casado(a),45 a 49 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,194,feminino,solteiro(a),35 a 39 anos,ensino superior completo,14,14,0,0
2022,PB,2507507,20516,biometrico,70,600,masculino,solteiro(a),25 a 29 anos,ensino medio completo,12,12,0,0
2022,PB,2507507,20516,biometrico,77,92,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,562,masculino,casado(a),40 a 44 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,1,292,masculino,solteiro(a),25 a 29 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,76,306,feminino,solteiro(a),35 a 39 anos,ensino superior completo,14,14,0,0
2022,PB,2507507,20516,biometrico,70,520,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,19,19,0,0
2022,PB,2507507,20516,biometrico,64,111,feminino,casado(a),50 a 54 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,76,259,feminino,solteiro(a),25 a 29 anos,ensino medio completo,18,18,0,0
