id,turno,regiao,estado,municipio,zona,local,secao,vPresA22,vPresB13,vPresNulo,vPresBranco,vGovA,vGovB,vGovNulo,vGovBranco,qEleitAptos,qComparecimento,qEleitLibCodigo,qEleitBiometrico,modelUrna,jaVotou,arquivoBU,dataHoraAbertura,dataHoraEncerramento
595204,2,NE,PB,20516,76,1015,1,181,154,5,0,147,168,7,7,409,340,19,330,UE2020,1,o00407-2051600760001.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:26.000000
595205,2,NE,PB,20516,76,1309,194,110,208,21,3,156,155,23,8,393,342,13,336,UE2020,1,o00407-2051600760194.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:11.000000
595206,2,NE,PB,20516,76,1619,299,153,171,10,5,147,176,7,4,393,339,17,331,UE2020,,o00407-2051600760299.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:59.000000
595207,2,NE,PB,20516,76,1449,256,163,136,9,5,170,120,9,6,379,313,13,303,UE2020,,o00407-2051600760256.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:26.000000
595208,2,NE,PB,20516,76,1740,344,185,137,8,6,170,138,10,7,405,336,8,323,UE2020,,o00407-2051600760344.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:10.000000
595209,2,NE,PB,20516,76,1104,149,195,140,11,3,171,163,12,3,420,349,22,329,UE2020,,o00407-2051600760149.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:34.000000
595210,2,NE,PB,20516,76,1449,345,189,105,5,5,167,113,8,9,380,304,23,291,UE2020,,o00407-2051600760345.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:05.000000
595211,2,NE,PB,20516,76,1104,13,192,145,13,3,178,161,9,5,416,353,17,332,UE2020,2,o00407-2051600760013.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:30.000000
595212,2,NE,PB,20516,76,1708,130,135,203,10,3,165,162,16,3,413,351,11,337,UE2020,,o00407-2051600760130.bu,2022-10-30 08:03:41.000000,2022-10-30 17:00:03.000000
595213,2,NE,PB,20516,76,1759,225,160,144,14,5,174,129,15,5,385,323,9,289,UE2020,,o00407-2051600760225.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:49.000000
595214,2,NE,PB,20516,76,1341,380,175,152,9,6,181,143,13,5,395,342,7,270,UE2020,,o00407-2051600760380.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:23.000000
595215,2,NE,PB,20516,76,1309,155,140,183,7,5,169,139,18,9,388,335,10,328,UE2020,,o00407-2051600760155.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:15.000000
595216,2,NE,PB,20516,76,1708,135,138,194,14,4,143,185,15,3,411,350,19,340,UE2020,,o00407-2051600760135.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:49.000000
595217,2,NE,PB,20516,76,1686,382,91,154,4,1,111,134,2,3,288,250,7,180,UE2020,,o00407-2051600760382.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:34.000000
595218,2,NE,PB,20516,76,1821,373,172,141,9,8,180,135,6,9,395,330,16,319,UE2020,,o00407-2051600760373.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:54.000000
595219,2,NE,PB,20516,76,1562,235,145,180,4,6,160,166,7,2,386,335,14,330,UE2020,,o00407-2051600760235.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:13.000000
595220,2,NE,PB,20516,76,1066,403,167,213,5,4,193,160,11,5,437,389,6,274,UE2020,,o00407-2051600760403.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:30.000000
